stop_id,stop_name,address,stop_lat,stop_lon
1000725668,Budapesti körút,"Fodorkert, Gedó, József Attila sugárút, Budapesti körút",46.273146,20.1601921
1000729605,Budapesti körút (József Attila sugárút),"Fodorkert, Gedó, Budapesti körút, Budapesti körút (József Attila sugárút)",46.2724499,20.1605921
1099501779,Galamb utca,"Belváros, Boldogasszony sugárút, Galamb utca",46.2416666,20.1424182
1099501784,Szeged vasútállomás,"Alsóváros, Indóház tér, Szeged vasútállomás",46.2399261,20.1426964
1103186207,Széchenyi tér,"Belváros, Széchenyi tér",46.2528081,20.14944
1103186211,Tavasz utca,"Rókus, Franciahögy lakópark, Kossuth Lajos sugárút, Tavasz utca",46.2607733,20.1389184
1103186215,Bécsi körút,"Belváros, Boldogasszony sugárút, Bécsi körút",46.2433639,20.1436692
1103186226,Tavasz utca,"Rókus, Franciahögy lakópark, Kossuth Lajos sugárút, Tavasz utca",46.2606065,20.1393021
1103186236,Anna-kút (Kossuth Lajos sugárút),"Belváros, Kossuth Lajos sugárút, Anna-kút (Kossuth Lajos sugárút)",46.2562989,20.1473722
1103186245,Pulz utca,"Rókus, Pulz utca",46.2643935,20.1261084
1103186251,Széchenyi tér,"Belváros, Széchenyi tér",46.2526484,20.1492275
1103186254,Aradi vértanúk tere,"Belváros, Aradi vértanúk tere",46.2477236,20.1469218
1103186257,Damjanich utca,"Rókus, Franciahögy lakópark, Kossuth Lajos sugárút, Damjanich utca",46.2628104,20.1350543
1103186258,Rókus vasútállomás,"Béketelep, Pulz utca, Rókus vasútállomás",46.2660658,20.1256873
1103186260,Bécsi körút,"Belváros, Boldogasszony sugárút, Bécsi körút",46.243613,20.1439083
1103186265,Anna-kút (Kossuth Lajos sugárút),"Belváros, Kossuth Lajos sugárút, Anna-kút (Kossuth Lajos sugárút)",46.2560375,20.147791
1103186269,Rókusi templom,"Rókus, Franciahögy lakópark, Kossuth Lajos sugárút, Rókusi templom",46.2591729,20.1419248
1103186283,Aradi vértanúk tere,"Belváros, Aradi vértanúk tere",46.2479389,20.1470324
1111400508,Vadaspark,"Iparváros, Kálvária sugárút, Vadaspark",46.2540169,20.1180038
1111400513,Londoni körút,"Móraváros, Kálvária sugárút, Londoni körút",46.2519899,20.1379723
1111400514,Brüsszeli körút,"Felsőváros, József Attila sugárút, Brüsszeli körút",46.2618632,20.1575707
1111400526,Budapesti körút,"Fodorkert, Gedó, Tölgyes utca, Budapesti körút",46.2728927,20.1593131
1111400531,Centrum Áruház,"Belváros, Tisza Lajos körút, Centrum Áruház",46.2544353,20.1463504
1111400538,Rózsa utca (József Attila sugárút),"Tarján, Gedó, Rózsa utca, Rózsa utca (József Attila sugárút)",46.2666484,20.157389
1111400548,Kecskeméti utca,"Tarján, Gedó, József Attila sugárút, Kecskeméti utca",46.2646165,20.1574877
1111400551,II. Kórház,"Móraváros, Kálvária sugárút, II. Kórház",46.2535585,20.1257442
1111400577,Budapesti körút,"Fodorkert, Gedó, József Attila sugárút, Budapesti körút",46.272407,20.1589378
1111400578,Brüsszeli körút,"Felsőváros, Brüsszeli körút",46.2616194,20.1575247
1111400588,Deák Ferenc Gimnázium,"Fodorkert, Gedó, József Attila sugárút, Deák Ferenc Gimnázium",46.2698289,20.1578568
