service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
HN_busz,1,1,1,1,1,1,1,20221029,20221101
HN_MSZ,1,0,0,0,0,0,1,20221030,20221101
HN_SZN,0,0,0,0,0,1,0,20221029,20221029
IEA,1,1,1,1,1,0,0,20221028,20230615
MI,0,0,0,0,0,0,1,20221028,20230615
mindig,1,1,1,1,1,1,1,20221028,20221231
MN,1,1,1,1,1,0,0,20221028,20221231
MN:H-SZ,1,1,1,0,0,0,0,20221028,20221231
MSZ,0,0,0,0,0,0,1,20221028,20221231
MSZ_NY,0,0,0,0,0,0,1,20221028,20221231
MSZ_NY-hidi,0,0,0,0,0,0,1,20221028,20221231
MSZ_Z,0,0,0,0,0,0,0,20221028,20221231
MSZ-12.25,0,0,0,0,0,0,1,20221028,20221231
MSZ-12.25-hidi,0,0,0,0,0,0,1,20221028,20221231
MSZ-foci,0,0,0,0,0,0,1,20221028,20221231
MSZ-hidi,0,0,0,0,0,0,1,20221028,20221231
MSZ-HN,0,0,0,0,0,0,1,20221028,20221231
MU,0,0,0,0,1,0,0,20221028,20221231
MUE,0,0,0,1,0,0,0,20221028,20221231
MU-TT,0,0,0,0,1,0,0,20221028,20221231
SZN,0,0,0,0,0,1,0,20221028,20221231
SZN-hidi,0,0,0,0,0,1,0,20221028,20221231
SZN-HN,0,0,0,0,0,1,0,20221028,20221231
T,1,1,1,1,1,0,0,20221028,20230615
T+,0,0,0,0,0,0,1,20221028,20230615
T-HN,1,1,1,1,1,0,0,20221028,20230615
TL,1,1,1,1,0,0,0,20221028,20230615
TO,0,0,0,0,0,1,0,20221028,20230615
TT_MU,0,0,0,0,1,0,0,20221029,20221231
TU,0,0,0,0,1,0,0,20221028,20230616
UNN,0,0,0,0,0,0,0,20221028,20221231
VAS,0,0,0,0,0,0,1,20221028,20221231
