service_id,date,exception_type
MN:H-SZ,20221031,2
MN,20221031,2
MI,20221030,2
IEA,20221031,2
MSZ,20221031,1
MSZ_NY,20221031,1
IEA,20221101,2
MI,20221101,1
MN,20221101,2
MN:H-SZ,20221101,2
MSZ,20221101,1
MSZ_Z,20221101,1
TL,20221101,2
UNN,20221030,1
UNN,20221031,1
VAS,20221030,2
VAS,20221101,1
HN_MSZ,20221031,1
HN_MSZ,20221101,1
MSZ_NY-hidi,20221031,1
MSZ-12.25,20221031,1
MSZ-12.25,20221101,1
MSZ-12.25-hidi,20221031,1
MSZ-12.25-hidi,20221101,1
MSZ-foci,20221031,1
MSZ-foci,20221101,1
MSZ-hidi,20221031,1
MSZ-hidi,20221101,1
MSZ-HN,20221030,2
MU-TT,20221104,2
MU-TT,20221111,2
MU-TT,20221118,2
MU-TT,20221125,2
MU-TT,20221202,2
MU-TT,20221209,2
MU-TT,20221216,2
MU-TT,20221223,2
MU-TT,20221230,2
SZN-HN,20221029,2
T,20221031,2
T,20221101,2
T+,20221031,1
T+,20221101,1
T-HN,20221031,2
T-HN,20221101,2
TU,20221031,2
TU,20221101,2
