route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
34,MN,275/0,"Kiskundorozsma, Sziksósfürdő",0,3263440,1
34,MN,275/1,"Kiskundorozsma, Sziksósfürdő",0,3263440,1
34,TO,279/0,"Kiskundorozsma, Sziksósfürdő",0,3263440,1
34,IEA,1017/0,"Mars tér",1,3263439,1
18,MI,153/0,"Repülőtér",0,3234265,1
18,MI,153/1,"Repülőtér",0,3234265,1
18,MI,153/2,"Repülőtér",0,3234265,1
18,T,717/0,"Krematórium",0,6307491,1
18,T,717/1,"Krematórium",0,6307491,1
18,T,333/0,"Repülőtér",0,6307492,1
18,T,333/1,"Repülőtér",0,6307492,1
18,T,719/0,"Mars tér",1,6307494,1
18,T,719/1,"Mars tér",1,6307494,1
18,MI,164/0,"Mars tér",1,4715841,1
18,MI,164/1,"Mars tér",1,4715841,1
18,T,157/0,"Mars tér",1,3234264,1
18,T,157/1,"Mars tér",1,3234264,1
29,MN,587/0,"Szeged vasútállomás",1,2896706,1
20,SZN-hidi,178/0,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/1,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/2,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/3,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/4,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/5,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/6,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/7,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/8,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/9,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/10,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/11,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/12,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/13,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/14,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/15,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/16,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/17,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/18,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/19,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/20,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/21,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/22,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/23,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/24,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/25,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/26,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/27,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/28,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/29,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/30,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/31,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/32,"Újszeged, Füvészkert",0,2896972,1
20,SZN-hidi,178/33,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/0,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/1,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/2,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/3,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/4,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/5,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/6,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/7,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/8,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/9,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/10,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/11,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/12,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/13,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/14,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/15,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/16,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/17,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/18,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/19,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/20,"Újszeged, Füvészkert",0,2896972,1
20,MSZ-hidi,179/21,"Újszeged, Füvészkert",0,2896972,1
