trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
275/0,04:25:00,04:25:00,2429618976,1,0,1,0
275/0,04:26:00,04:26:00,1103186226,2,0,0,22
275/0,04:27:00,04:27:00,1403707798,3,0,0,30
275/0,04:30:00,04:30:00,2429619032,4,0,0,71
275/0,04:32:00,04:32:00,2430584904,5,0,0,95
275/0,04:34:00,04:34:00,898800595,6,0,0,117
275/0,04:35:00,04:35:00,898800588,7,0,0,133
275/0,04:37:00,04:37:00,898800581,8,0,0,142
275/0,04:38:00,04:38:00,2430585002,9,0,0,145
275/0,04:40:00,04:40:00,2430584867,10,0,0,161
275/0,04:41:00,04:41:00,898800628,11,0,0,172
275/0,04:42:00,04:42:00,898800616,12,0,0,183
275/0,04:43:00,04:43:00,2685860193,13,0,0,219
275/0,04:44:00,04:44:00,898800673,14,0,0,231
275/0,04:45:00,04:45:00,2430584878,15,0,0,258
275/0,04:46:00,04:46:00,898800660,16,0,0,269
275/0,04:47:00,04:47:00,2430584982,17,1,0,303
275/1,22:45:00,22:45:00,2429618976,1,0,1,0
275/1,22:46:00,22:46:00,1103186226,2,0,0,22
